#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
29,G,Kemba Walker,Charlotte Hornets,67,50.4%,11,11.4,1.036,4.9,3.9,8.7,44.2%,52.1%,10.1%,13.1%,11.1%,45.3%
30,F,LeBron James,Cleveland Cavaliers,68,20.5%,5.3,5.4,1.025,1.9,2,3.8,51.5%,57.9%,17.3%,13.6%,11.4%,47.6%
31,G,DJ Augustin,Orlando Magic,62,36.5%,3.5,3.5,1.023,1.1,1.1,2.2,49.3%,58.8%,21.5%,16.4%,15%,45.3%
32,G,Chris Paul,Houston Rockets,50,38.1%,6.7,6.8,1.012,2.6,2.4,5,47.8%,55.2%,15.6%,10.5%,3%,45.5%
33,G,Jerian Grant,Chicago Bulls,60,41.8%,3.7,3.7,1.005,1.4,1.4,2.7,50%,55.8%,16.9%,11.9%,11.4%,45.2%
34,F-G,CJ Miles,Toronto Raptors,58,4.8%,0.4,0.4,1,0.2,0.2,0.3,50%,62.5%,19.2%,3.8%,3.8%,42.3%
35,G,Josh Magette,Atlanta Hawks,12,50%,1.3,1.3,1,0.7,0.3,0.9,27.3%,31.8%,0%,26.7%,13.3%,46.7%
36,G,Kyle Collinsworth,Dallas Mavericks,23,18.3%,0.6,0.6,1,0.1,0.2,0.3,62.5%,62.5%,15.4%,30.8%,15.4%,61.5%
37,C-F,Nikola Jokic,Denver Nuggets,62,1.5%,0.3,0.3,1,0.1,0.1,0.2,45.5%,50%,18.8%,37.5%,43.8%,31.3%
38,G,Sean Kilpatrick,Milwaukee Bucks,23,10.2%,0.4,0.4,1,0.2,0.1,0.3,42.9%,42.9%,10%,30%,30%,50%
39,G,Mike Conley,Memphis Grizzlies,12,41.5%,7.3,7.3,0.989,3.3,2.6,5.9,43.7%,48.6%,8%,14.8%,14.8%,45.5%
40,F,Chandler Parsons,Memphis Grizzlies,32,27.1%,2.1,2.1,0.985,0.9,0.9,1.8,50.9%,54.4%,13.2%,4.4%,1.5%,45.6%
41,F,Mario Hezonja,Orlando Magic,62,11.5%,1,1,0.985,0.4,0.4,0.8,54%,57%,18.5%,6.2%,4.6%,46.2%
42,G,Darren Collison,Indiana Pacers,55,32%,3.7,3.7,0.981,1.7,1.5,3.2,47.5%,51.4%,9.2%,5.8%,4.9%,45.6%
43,G,Jordan Clarkson,Cleveland Cavaliers,14,41.5%,5.2,5.1,0.973,2.3,1.9,4.2,45.8%,50.8%,11%,12.3%,8.2%,45.2%
44,G,Malcolm Brogdon,Milwaukee Bucks,46,25.3%,3.2,3.2,0.973,1.2,1.3,2.5,50.9%,55.2%,15.4%,6.7%,5.4%,45.6%
45,G,Tyreke Evans,Memphis Grizzlies,50,37.9%,7.4,7.2,0.973,3.2,2.7,5.9,45.9%,52.7%,13%,9%,7.9%,43.2%
46,F,Harrison Barnes,Dallas Mavericks,66,7.7%,1.4,1.4,0.968,0.6,0.6,1.2,47.5%,51.9%,8.4%,7.4%,7.4%,46.3%
47,G,Joe Harris,Brooklyn Nets,66,7.1%,0.7,0.6,0.955,0.2,0.2,0.5,48.4%,58.1%,22.7%,9.1%,9.1%,40.9%
48,F,Bojan Bogdanovic,Indiana Pacers,67,7.3%,0.9,0.9,0.952,0.3,0.3,0.6,50%,50%,19%,17.5%,17.5%,47.6%
49,G,Reggie Jackson,Detroit Pistons,33,47.7%,7.6,7.2,0.952,3,3,5.9,50%,52.3%,15.5%,9.2%,9.6%,45.4%
50,G-F,Rodney Hood,Utah Jazz,39,27.5%,4.6,4.3,0.944,2,1.7,3.7,45.5%,51.7%,14.5%,5.6%,4.5%,41.3%
51,G,DeMar DeRozan,Toronto Raptors,68,41.8%,9.6,9.1,0.942,4.1,3.3,7.3,44.3%,46%,10.9%,16.1%,14.8%,46.5%
52,G,Victor Oladipo,Indiana Pacers,62,37.1%,8.7,8.1,0.935,3.7,3.2,6.9,45.8%,50%,13%,9.5%,9.1%,43.8%
53,G,Evan Fournier,Orlando Magic,57,17.8%,3,2.8,0.931,1.3,1.1,2.4,45.7%,50.7%,14.5%,8.1%,6.4%,42.2%
54,G,Jamal Crawford,Minnesota Timberwolves,67,30.3%,3.2,3,0.931,1.3,1.2,2.5,48.8%,53.5%,18%,5.5%,4.1%,41.9%
55,G,CJ McCollum,Portland Trail Blazers,67,32.7%,7.1,6.6,0.93,3.4,2.7,6.1,44.6%,49.5%,9.9%,4.9%,4.2%,42.2%
56,G,Isaiah Whitehead,Brooklyn Nets,16,45.8%,3.4,3.1,0.926,1.3,1.4,2.7,51.2%,54.7%,18.5%,3.7%,3.7%,42.6%
57,G,George Hill,Cleveland Cavaliers,14,36.1%,3.8,3.5,0.925,1.8,1.4,3.2,44.4%,46.7%,3.8%,9.4%,9.4%,47.2%
58,G-F,Jimmy Butler,Minnesota Timberwolves,56,31.2%,6.4,5.9,0.925,2.8,2,4.8,41.9%,44.4%,12.5%,15.6%,14.5%,44.3%
59,F,Lauri Markkanen,Chicago Bulls,60,4.4%,0.7,0.6,0.923,0.4,0.3,0.6,41.7%,43.1%,2.6%,7.7%,7.7%,43.6%
60,G,Yogi Ferrell,Dallas Mavericks,68,27.5%,2.8,2.6,0.921,1.3,1,2.3,44.2%,48.4%,11.1%,7.9%,6.8%,43.2%
61,G,Wesley Matthews,Dallas Mavericks,63,11.8%,1.5,1.4,0.918,0.6,0.6,1.2,48.7%,53.9%,19.6%,5.2%,5.2%,40.2%
62,F,Darius Miller,New Orleans Pelicans,68,7.8%,0.5,0.5,0.917,0.2,0.2,0.4,50%,62.5%,27.8%,5.6%,5.6%,38.9%
63,G,Andrew Harrison,Memphis Grizzlies,52,42.2%,4.2,3.9,0.914,1.7,1.4,3.2,45.1%,49.1%,15%,12.3%,9.1%,42.7%
64,G,Bradley Beal,Washington Wizards,69,28.2%,6.5,5.9,0.913,2.9,2.4,5.3,45.8%,49.5%,13.2%,7.4%,6.3%,42.4%
65,G,Lou Williams,Los Angeles Clippers,66,42.6%,9.6,8.7,0.91,4.2,3,7.2,42.1%,46.7%,13.9%,12.5%,9.3%,42.7%
66,F,Rondae Hollis-Jefferson,Brooklyn Nets,54,2.8%,0.4,0.4,0.909,0.1,0.1,0.3,46.7%,46.7%,18.2%,18.2%,18.2%,45.5%
67,G,Nick Young,Golden State Warriors,66,7.9%,0.5,0.4,0.906,0.3,0.2,0.4,35.7%,48.2%,9.4%,3.1%,0%,34.4%
68,F,Paul Millsap,Denver Nuggets,25,5.6%,0.8,0.8,0.905,0.4,0.2,0.6,40%,43.3%,19%,14.3%,14.3%,38.1%
69,G,Tyus Jones,Minnesota Timberwolves,69,23.9%,1.2,1.1,0.904,0.5,0.4,0.9,41.3%,42.9%,10.8%,14.5%,13.3%,44.6%
70,F,Jarell Martin,Memphis Grizzlies,63,3.8%,0.3,0.3,0.9,0.1,0.1,0.3,52.9%,52.9%,15%,0%,0%,45%
71,G,Derrick Rose,Cleveland Cavaliers,16,38.3%,4.3,3.9,0.899,1.8,1.4,3.2,45.1%,47.1%,14.5%,13%,13%,44.9%
72,G-F,Giannis Antetokounmpo,Milwaukee Bucks,64,11.4%,2.9,2.6,0.898,1.2,1,2.1,45.3%,46%,12.8%,18.2%,16.6%,46.5%
73,G,Zach Lavine,Chicago Bulls,24,42%,7.7,6.9,0.897,3.8,2.5,6.3,39.7%,45.7%,9.2%,10.8%,9.7%,41.1%
74,G,James Harden,Houston Rockets,60,36.2%,10.4,9.3,0.894,4.1,3,7.2,42.2%,47.8%,19.3%,13.8%,11.7%,40.5%
75,G,Jrue Holiday,New Orleans Pelicans,68,28%,5.4,4.8,0.894,2.3,2.1,4.3,47.6%,50.5%,15.2%,5.7%,4.1%,42.9%
76,G,Eric Gordon,Houston Rockets,59,20.6%,3.6,3.3,0.893,1.7,1,2.7,36.6%,43.2%,13.5%,16.3%,15.8%,39.1%
77,G,Rajon Rondo,New Orleans Pelicans,54,37.3%,3.6,3.2,0.893,1.3,1.5,2.7,53.4%,56.4%,20.4%,4.1%,3.6%,42.9%
78,G,Wayne Ellington,Miami Heat,64,4.3%,0.4,0.4,0.893,0.2,0.1,0.3,35%,50%,21.4%,7.1%,7.1%,32.1%
79,G-F,Jeremy Lamb,Charlotte Hornets,68,33.9%,4.4,3.9,0.892,2,1.4,3.4,40.6%,43.4%,11.4%,13.8%,13.1%,42.8%
80,G,Delon Wright,Toronto Raptors,55,35%,2.8,2.5,0.89,1.2,0.9,2.1,43%,46.1%,16.8%,14.8%,12.3%,41.3%
81,F,Trevor Ariza,Houston Rockets,55,4.4%,0.5,0.4,0.889,0.3,0.2,0.5,36%,48%,7.4%,3.7%,3.7%,33.3%
82,F,DeMarre Carroll,Brooklyn Nets,63,8.2%,1.1,1,0.887,0.5,0.3,0.8,39.6%,46.2%,14.1%,14.1%,9.9%,40.8%
83,G,Gary Harris,Denver Nuggets,65,14.2%,2.3,2.1,0.887,1.1,0.8,1.9,44.4%,46.8%,12.6%,7.9%,6.6%,41.7%
84,F-G,Paul George,Oklahoma City Thunder,67,25.3%,5.5,4.9,0.886,2.3,1.8,4,43.7%,48.9%,17.2%,10.9%,9.5%,41.1%
85,F,TJ Warren,Phoenix Suns,64,14%,2.7,2.4,0.885,1.3,1,2.3,43.1%,43.1%,6.3%,12.6%,11.5%,44.8%
86,G,Austin Rivers,Los Angeles Clippers,47,40.7%,6.6,5.9,0.884,2.9,2.2,5.2,43.2%,50%,15.4%,8.7%,7.4%,39.2%
87,G-F,Andre Iguodala,Golden State Warriors,56,4.7%,0.3,0.3,0.882,0.2,0.1,0.3,35.7%,46.4%,5.9%,11.8%,5.9%,41.2%
88,G,Elfrid Payton,Phoenix Suns,14,48%,7.9,6.9,0.882,2.9,2.8,5.7,48.8%,49.4%,19.1%,15.5%,14.5%,42.7%
89,G,Dion Waiters,Miami Heat,30,32.4%,5.5,4.9,0.88,2,2.1,4.2,51.2%,53.6%,19.3%,5.4%,4.8%,42.8%
90,G,Terrence Ross,Orlando Magic,22,11.5%,1.1,1,0.88,0.5,0.4,0.9,42.1%,50%,20%,8%,8%,36%
91,G,JR Smith,Cleveland Cavaliers,66,9.9%,0.9,0.8,0.879,0.3,0.3,0.7,52.3%,55.7%,19%,6.9%,3.4%,43.1%
92,G,Dennis Schroder,Atlanta Hawks,64,49.6%,10.5,9.2,0.878,4.6,3.9,8.5,45.9%,47.7%,13.8%,7%,6.1%,42.5%
93,G,Tyler Johnson,Miami Heat,59,22%,2.6,2.3,0.878,1.1,0.8,1.9,44.1%,45.9%,16.7%,16.7%,16.7%,42.9%
94,G,Jarrett Jack,New York Knicks,57,51.3%,5,4.4,0.877,2.1,1.9,4,47.6%,48.9%,15.8%,6%,5.6%,42.5%
95,G,Ian Clark,New Orleans Pelicans,62,19.8%,1.4,1.2,0.875,0.6,0.6,1.2,48%,50.7%,13.6%,1.1%,1.1%,42%
96,F,Jeff Green,Cleveland Cavaliers,65,2.4%,0.2,0.2,0.875,0.1,0.1,0.2,42.9%,50%,12.5%,0%,0%,37.5%
97,G,Denzel Valentine,Chicago Bulls,68,28.5%,3,2.6,0.873,1.4,1.1,2.5,44.4%,51.8%,15.7%,0.5%,0.5%,37.7%
98,G,Courtney Lee,New York Knicks,67,26.1%,3.1,2.7,0.872,1.5,1.1,2.6,43.4%,46.3%,11.4%,5.2%,5.7%,41.2%
99,G,Shabazz Napier,Portland Trail Blazers,61,38.1%,3.6,3.1,0.872,1.5,1.1,2.7,42%,46%,15.6%,11.5%,10.6%,40.8%
100,F,Dario Saric,Philadelphia 76ers,66,2.4%,0.3,0.3,0.87,0.1,0.1,0.2,46.7%,46.7%,21.7%,13%,13%,43.5%
101,C,Joel Embiid,Philadelphia 76ers,56,1.7%,0.4,0.4,0.87,0.2,0.2,0.4,47.6%,47.6%,8.7%,0%,0%,43.5%
102,F,Kyle  Anderson,San Antonio Spurs,61,16.2%,1.4,1.2,0.869,0.5,0.5,1,50%,50%,20.2%,11.9%,11.9%,44%
103,G,Manu Ginobili,San Antonio Spurs,53,37.1%,3.6,3.1,0.869,1.2,1.2,2.4,50.4%,54.3%,25.1%,8.9%,6.3%,41.9%
104,G,Kyle Lowry,Toronto Raptors,65,26.5%,4.2,3.6,0.868,1.9,1.1,3,37.2%,44.4%,16.5%,13.6%,11.4%,38.1%
105,G-F,Treveon Graham,Charlotte Hornets,56,5.9%,0.3,0.2,0.867,0.1,0.1,0.2,50%,54.2%,20%,0%,0%,40%
106,G,Spencer Dinwiddie,Brooklyn Nets,67,41.1%,5.7,4.9,0.866,2.7,1.7,4.4,37.9%,44%,13.4%,10.7%,9.9%,39%
107,G,Antonio Blakeney,Chicago Bulls,16,17.2%,1.4,1.2,0.864,0.6,0.5,1.1,44.4%,47.2%,9.1%,9.1%,9.1%,45.5%
108,G,Bogdan Bogdanovic,Sacramento Kings,66,30.8%,3.7,3.2,0.864,1.5,1.3,2.8,46.2%,50.3%,18.9%,5.8%,4.5%,39.9%
109,F,Carmelo Anthony,Oklahoma City Thunder,66,11%,2,1.7,0.862,1,0.7,1.7,39.5%,43%,6.2%,6.9%,6.2%,40.8%
110,G,Cory Joseph,Indiana Pacers,68,35.4%,3.2,2.7,0.861,1.4,1.2,2.6,45.3%,46.9%,12%,5.1%,2.3%,41.7%
111,G,Goran Dragic,Miami Heat,64,39.3%,7.2,6.2,0.861,3.1,2.5,5.6,44.5%,46.4%,14.6%,10.2%,7.6%,42.4%
112,F,Wilson Chandler,Denver Nuggets,62,6.6%,0.7,0.6,0.86,0.4,0.2,0.6,34.2%,43.4%,7%,9.3%,7%,34.9%
113,G,Bryn Forbes,San Antonio Spurs,67,17.8%,1.3,1.1,0.856,0.7,0.5,1.2,43.9%,45.7%,6.7%,4.4%,4.4%,41.1%
114,G,Jeff Teague,Minnesota Timberwolves,58,42.2%,6.3,5.4,0.856,2.8,2.2,4.9,43.9%,46.7%,15.2%,8.4%,6.3%,40.8%
115,G,Raymond Felton,Oklahoma City Thunder,70,47.4%,3.8,3.2,0.856,1.8,1.4,3.2,43.9%,47.3%,11.7%,3.8%,2.7%,40.9%
116,G,DAngelo Russell,Brooklyn Nets,34,44%,8.1,6.9,0.855,3.3,2.7,6,44.8%,48.8%,18.8%,8.3%,5.4%,40.6%
117,F-G,Evan Turner,Portland Trail Blazers,65,21.6%,2,1.7,0.853,0.9,0.7,1.6,44.8%,45.2%,12.4%,7.8%,4.7%,42.6%
118,G,Will Barton,Denver Nuggets,68,27.6%,4.2,3.6,0.853,1.9,1.5,3.4,43.7%,49.3%,16.1%,5.2%,4.9%,38.5%
119,G,Tony Parker,San Antonio Spurs,42,51%,5.1,4.3,0.85,2.2,2,4.1,47.4%,47.7%,14.6%,5.6%,5.2%,42.7%
120,G,George Hill,Sacramento Kings,43,34%,3.4,2.9,0.849,1.4,1,2.4,42.7%,48.1%,19.2%,12.3%,7.5%,38.4%
121,G,Devin Booker,Phoenix Suns,54,28.2%,7.2,6.1,0.848,3,2.1,5.1,41.7%,46.8%,19.3%,10.6%,9%,38.4%
122,G,Jose Calderon,Cleveland Cavaliers,45,39.8%,1.4,1.2,0.844,0.5,0.5,1,50%,53.3%,21.9%,6.3%,6.3%,42.2%
123,G,Jamal Murray,Denver Nuggets,68,25.9%,4.1,3.5,0.843,1.9,1.4,3.2,42.3%,45.5%,16.4%,8.2%,7.9%,38.2%
124,C-F,Al Horford,Boston Celtics,61,2.4%,0.3,0.3,0.842,0.1,0.1,0.2,46.7%,53.3%,21.1%,0%,0%,36.8%
125,G,Jordan  Clarkson,Los Angeles Lakers,53,35.3%,5.4,4.5,0.842,2.5,1.8,4.3,41.9%,44.1%,12.3%,9.1%,7.7%,40.7%
126,G,Klay Thompson,Golden State Warriors,66,6.9%,1.2,1,0.841,0.5,0.5,0.9,48.4%,51.6%,22%,2.4%,2.4%,39%
127,F,Robert Covington,Philadelphia 76ers,65,3.7%,0.5,0.4,0.839,0.2,0.1,0.3,35%,42.5%,22.6%,16.1%,12.9%,35.5%
128,G,Isaiah Thomas,Los Angeles Lakers,14,32.7%,6.1,5.1,0.835,2.5,1.9,4.4,42.6%,50%,22.4%,5.9%,5.9%,36.5%
129,G,Dwyane Wade,Miami Heat,12,40.6%,6.5,5.4,0.833,2.7,2.1,4.8,43.9%,44.7%,15.4%,11.5%,11.5%,41%
130,G-F,Rodney Hood,Cleveland Cavaliers,12,19.5%,2,1.7,0.833,1,0.7,1.7,40%,42.5%,8.3%,8.3%,8.3%,41.7%
131,F,Wesley Johnson,Los Angeles Clippers,61,6.1%,0.4,0.3,0.833,0.2,0.1,0.4,34.8%,37%,0%,8.3%,4.2%,37.5%
132,G,T.J. McConnell,Philadelphia 76ers,61,37.4%,2.9,2.4,0.832,1.3,1.2,2.5,47%,47.4%,13.4%,2.2%,2.2%,41.9%
133,F,Justin Jackson,Sacramento Kings,55,7.9%,0.5,0.4,0.828,0.2,0.2,0.4,47.8%,47.8%,17.2%,6.9%,6.9%,41.4%
134,G,Russell Westbrook,Oklahoma City Thunder,68,32.3%,9.3,7.7,0.827,3.7,3,6.7,44.5%,47.4%,19.8%,11%,9.2%,39.4%
135,F,Cedi Osman,Cleveland Cavaliers,54,12.2%,0.4,0.4,0.826,0.1,0.1,0.3,50%,50%,26.1%,13%,13%,39.1%
136,G,Elfrid Payton,Orlando Magic,44,34.5%,4.9,4,0.823,2,1.7,3.7,46.3%,47%,15.3%,11.2%,8.8%,41.4%
137,G-F,Justise Winslow,Miami Heat,55,13.3%,1.1,0.9,0.823,0.4,0.4,0.8,47.6%,47.6%,16.1%,21%,21%,43.5%
138,G,Mike James,Phoenix Suns,32,53.9%,6.7,5.5,0.823,3.1,2.2,5.3,42%,45.6%,15.3%,7%,6.5%,38.6%
139,G,Isaiah Thomas,Cleveland Cavaliers,15,45%,7.9,6.5,0.822,3.4,2.2,5.6,39.3%,44%,19.5%,10.2%,9.3%,37.3%
140,F,Andrew  Wiggins,Minnesota Timberwolves,69,23.8%,4.6,3.8,0.821,2.2,1.5,3.7,40.7%,42.5%,10.7%,11%,10.1%,41.8%
141,G,Donovan Mitchell,Utah Jazz,66,38.6%,8,6.6,0.819,3.9,2.5,6.4,38.9%,44.2%,14.5%,7.5%,6.4%,36.7%
142,G,Nik Stauskas,Brooklyn Nets,29,26.8%,1.3,1.1,0.816,0.7,0.3,1,34.5%,44.8%,15.8%,7.9%,7.9%,34.2%
143,G,J.J. Barea,Dallas Mavericks,63,48.2%,6.1,5,0.813,2.7,1.9,4.6,40.5%,46.2%,18.4%,7.5%,6.5%,37%
144,G,Dwyane Wade,Cleveland Cavaliers,46,27.9%,3.5,2.8,0.804,1.5,1.1,2.7,42.3%,45.9%,16.6%,9.8%,9.8%,39.3%
145,G,Langston Galloway,Detroit Pistons,53,15.4%,1,0.8,0.804,0.5,0.4,0.9,41.3%,44.6%,9.8%,0%,0%,37.3%
146,G,Dwight Buycks,Detroit Pistons,25,48.5%,4.7,3.8,0.803,2,1.3,3.3,40.2%,43.9%,18.8%,12%,12%,39.3%
147,G-F,Jonathon Simmons,Orlando Magic,68,32.2%,4.7,3.8,0.802,2,1.5,3.4,42.7%,44.6%,17.6%,11%,9.7%,39.6%
148,F,James Ennis,Memphis Grizzlies,45,10.2%,0.7,0.5,0.8,0.2,0.2,0.4,44.4%,47.2%,26.7%,13.3%,13.3%,40%
149,G,Ramon Sessions,Washington Wizards,5,44.4%,4,3.2,0.8,1.4,1,2.4,41.7%,41.7%,15%,25%,20%,50%
150,G,Troy Daniels,Phoenix Suns,69,8.4%,0.7,0.5,0.8,0.3,0.2,0.5,32.4%,42.6%,17.8%,6.7%,4.4%,31.1%
151,G,Mario Chalmers,Memphis Grizzlies,56,35.1%,3.4,2.7,0.797,1.4,1,2.4,40.9%,43.4%,18.8%,10.9%,7.3%,39.1%
