#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
190,G,Isaiah Taylor,Atlanta Hawks,54,37.5%,2.5,1.8,0.729,0.9,0.6,1.5,39%,39.6%,21.1%,18%,15%,38.3%
191,G,Malachi Richardson,Sacramento Kings,25,10.2%,0.4,0.3,0.727,0.2,0.2,0.4,40%,40%,9.1%,0%,0%,36.4%
192,F,Blake Griffin,Los Angeles Clippers,33,11.2%,2.6,1.9,0.724,1.5,0.7,2.3,32%,34.7%,5.7%,10.3%,8%,35.6%
193,,Quinn Cook,Golden State Warriors,19,21.4%,0.9,0.7,0.722,0.6,0.3,0.9,29.4%,32.4%,0%,5.6%,5.6%,33.3%
194,G,Devin Harris,Dallas Mavericks,44,22.7%,2,1.4,0.721,1,0.3,1.3,26.3%,29.8%,15.1%,20.9%,18.6%,36%
195,G,Jerryd Bayless,Philadelphia 76ers,40,7.6%,0.6,0.5,0.72,0.3,0.2,0.4,35.3%,35.3%,20%,12%,8%,36%
196,F,Joe  Ingles,Utah Jazz,69,24.3%,2.6,1.9,0.72,1.1,0.7,1.8,40.5%,47.6%,28%,3.8%,3.3%,30.8%
197,G,John Wall,Washington Wizards,37,29.6%,6.7,4.8,0.717,2.9,1.8,4.8,38.6%,40.1%,20.6%,10.9%,9.7%,35.2%
198,F,Kyle Kuzma,Los Angeles Lakers,66,4.4%,0.7,0.5,0.717,0.3,0.2,0.5,36.1%,40.3%,13%,6.5%,6.5%,32.6%
199,F,Nemanja Bjelica,Minnesota Timberwolves,54,4.2%,0.3,0.2,0.714,0.1,0.1,0.1,50%,50%,35.7%,7.1%,7.1%,35.7%
200,G,Sindarius Thornwell,Los Angeles Clippers,58,6.4%,0.2,0.2,0.714,0.1,0.1,0.1,50%,50%,35.7%,28.6%,21.4%,35.7%
201,G,Dennis Smith Jr.,Dallas Mavericks,59,31.7%,5.9,4.2,0.713,3,1.7,4.7,35.4%,39.2%,16%,6.6%,6.6%,32.4%
202,F-G,Caris LeVert,Brooklyn Nets,58,35.7%,4.8,3.4,0.712,2.2,1.3,3.4,37.5%,41%,21%,10.3%,9.3%,34.2%
203,G,Ricky Rubio,Utah Jazz,65,39.5%,5.8,4.1,0.712,2.5,1.6,4.1,39.8%,40.4%,21.4%,8.5%,5%,36%
204,,Avery Bradley,Los Angeles Clippers,6,26.6%,2.8,2,0.706,1.5,1,2.5,40%,40%,11.8%,0%,0%,35.3%
205,F,Josh Jackson,Phoenix Suns,67,16.1%,2.3,1.6,0.702,1.1,0.6,1.7,34.2%,35%,11.3%,11.3%,9.9%,37.7%
206,F,Sam Dekker,Los Angeles Clippers,60,3.7%,0.2,0.1,0.7,0.1,<0.1,0.1,33.3%,33.3%,20%,20%,20%,40%
207,F,Thabo Sefolosha,Utah Jazz,38,6.8%,0.5,0.4,0.7,0.2,0.2,0.4,40%,40%,20%,5%,5%,35%
208,F,Michael Kidd-Gilchrist,Charlotte Hornets,61,5.7%,0.5,0.4,0.697,0.3,0.2,0.5,35.7%,35.7%,9.1%,12.1%,12.1%,36.4%
209,G,Dejounte Murray,San Antonio Spurs,68,35%,3.4,2.3,0.694,1.5,1,2.5,41%,41%,19.7%,5.2%,5.2%,35.8%
210,G,Frank Ntilikina,New York Knicks,66,41%,3.3,2.3,0.693,1.5,0.9,2.4,38.1%,40.6%,20.5%,5.6%,4.2%,33.5%
211,G,Pat Connaughton,Portland Trail Blazers,68,9.9%,0.6,0.4,0.692,0.3,0.2,0.5,35.5%,38.7%,15.4%,5.1%,5.1%,33.3%
212,G,De Aaron Fox,Sacramento Kings,60,41.3%,5.9,4.1,0.691,2.7,1.7,4.3,38.6%,40.7%,21.2%,7.1%,5.7%,33.4%
213,,Jameer Nelson,New Orleans Pelicans,43,31.2%,2,1.3,0.69,0.8,0.5,1.3,38.6%,45.6%,28.6%,4.8%,2.4%,29.8%
214,G,C.J. Williams,Los Angeles Clippers,30,11.6%,0.7,0.5,0.682,0.4,0.2,0.6,31.6%,39.5%,13.6%,0%,0%,27.3%
215,G,Raul Neto,Utah Jazz,39,34%,1.7,1.2,0.682,0.7,0.5,1.2,40%,41.1%,24.2%,10.6%,10.6%,33.3%
216,G,Alex Caruso,Los Angeles Lakers,28,29.2%,1,0.7,0.679,0.4,0.3,0.6,38.9%,41.7%,25%,14.3%,10.7%,32.1%
217,G,Marco Belinelli,Atlanta Hawks,52,20.9%,2.3,1.6,0.678,1.3,0.6,1.8,30.2%,35.9%,14.9%,5.8%,4.1%,29.8%
218,G,Avery Bradley,Detroit Pistons,40,7.8%,1.4,0.9,0.667,0.7,0.4,1.1,34.9%,38.4%,18.5%,3.7%,3.7%,29.6%
219,F,Corey Brewer,Los Angeles Lakers,54,8.9%,0.4,0.3,0.667,0.1,0.1,0.3,46.7%,46.7%,28.6%,0%,0%,33.3%
220,G,Jawun Evans,Los Angeles Clippers,42,27.7%,2.1,1.4,0.667,1,0.6,1.6,37.7%,39.9%,18.4%,2.3%,1.1%,32.2%
221,G,Malcom Delaney,Atlanta Hawks,54,37.5%,2.7,1.8,0.667,1.2,0.6,1.8,33.3%,37.5%,23.1%,12.2%,7.5%,33.3%
222,F,Tony Snell,Milwaukee Bucks,61,6.7%,0.4,0.3,0.667,0.2,0.1,0.3,41.2%,41.2%,29.6%,7.4%,7.4%,33.3%
223,G,Shelvin Mack,Orlando Magic,56,38.8%,2.8,1.8,0.665,1.3,0.7,2,36.3%,39.4%,21.9%,7.1%,6.5%,31.6%
224,G,Norman Powell,Toronto Raptors,58,27.2%,1.8,1.2,0.664,0.9,0.5,1.4,37.5%,38.8%,21.5%,4.7%,4.7%,31.8%
225,G,Tim Frazier,Washington Wizards,52,30.1%,1.3,0.9,0.662,0.6,0.3,1,36%,40%,22.1%,5.9%,2.9%,29.4%
226,G,Allen Crabbe,Brooklyn Nets,64,7.3%,0.9,0.6,0.661,0.5,0.2,0.7,31.9%,37.2%,16.9%,3.4%,1.7%,28.8%
227,G,Kobi Simmons,Memphis Grizzlies,21,30.3%,2.1,1.4,0.659,1.2,0.6,1.8,34.2%,35.5%,11.4%,2.3%,2.3%,31.8%
228,F,Stanley Johnson,Detroit Pistons,55,12.7%,1.3,0.8,0.657,0.7,0.3,1,30.2%,31.1%,12.9%,11.4%,11.4%,34.3%
229,G,Reggie Bullock,Detroit Pistons,52,5.3%,0.5,0.3,0.654,0.3,0.1,0.4,30.4%,32.6%,7.7%,3.8%,3.8%,30.8%
230,G,Jameer Nelson,Detroit Pistons,7,45.1%,3.3,2.1,0.652,1.4,1,2.4,41.2%,44.1%,26.1%,0%,0%,30.4%
231,G,Justin Anderson,Philadelphia 76ers,28,7%,0.4,0.3,0.636,0.3,0.1,0.4,27.3%,31.8%,0%,0%,0%,27.3%
232,G,Michael Carter-Williams,Charlotte Hornets,52,31.2%,1.9,1.2,0.634,1,0.4,1.4,29.6%,29.6%,19.8%,11.9%,11.9%,30.7%
233,G,Malik Beasley,Denver Nuggets,57,9.2%,0.3,0.2,0.632,0.1,0.1,0.2,42.9%,42.9%,26.3%,0%,0%,31.6%
234,,Josh Gray,Phoenix Suns,5,50.9%,5.4,3.4,0.63,2.6,1.2,3.8,31.6%,31.6%,14.8%,18.5%,18.5%,37%
235,G,Malik Monk,Charlotte Hornets,46,31.5%,2.1,1.3,0.625,1.3,0.5,1.8,27.2%,34.6%,12.5%,3.1%,3.1%,26%
236,G,Patrick Beverly,Los Angeles Clippers,11,36.8%,5.1,3.2,0.625,2.6,1.2,3.8,31%,33.3%,17.9%,7.1%,3.6%,30.4%
237,G,Tyler Dorsey,Atlanta Hawks,43,20%,1.3,0.8,0.625,0.7,0.3,1,28.9%,32.2%,14.3%,7.1%,5.4%,28.6%
238,F,Wesley Iwundu,Orlando Magic,51,10.9%,0.4,0.3,0.619,0.2,0.1,0.3,31.3%,31.3%,19%,14.3%,14.3%,28.6%
239,G-F,Kyle Korver,Cleveland Cavaliers,68,2.5%,0.2,0.1,0.615,0.1,<0.1,0.1,10%,15%,7.7%,15.4%,7.7%,23.1%
240,G,Sterling Brown,Milwaukee Bucks,42,6.3%,0.3,0.2,0.615,0.1,0.1,0.2,40%,40%,23.1%,0%,0%,30.8%
241,G,Tyler Ennis,Los Angeles Lakers,41,39.4%,1.6,1,0.615,0.9,0.4,1.3,32.1%,34%,13.8%,6.2%,6.2%,30.8%
242,G,Lonzo Ball,Los Angeles Lakers,46,30.1%,4.2,2.6,0.613,2.1,1,3.1,33.6%,39.5%,22.7%,5.2%,5.2%,26.8%
243,F,Dillon Brooks,Memphis Grizzlies,68,21.1%,2.3,1.4,0.606,1.2,0.6,1.8,31.1%,33.2%,16.1%,5.8%,5.8%,29%
244,F,Taurean Prince,Atlanta Hawks,69,17%,2.4,1.4,0.602,1.1,0.6,1.7,35.3%,39.2%,27.7%,4.2%,4.2%,27.1%
245,G,Damyean Dotson,New York Knicks,35,14.2%,0.4,0.3,0.6,0.2,0.1,0.3,33.3%,33.3%,13.3%,13.3%,13.3%,33.3%
246,G,Milton Doyle,Brooklyn Nets,6,34.5%,1.7,1,0.6,0.8,0.3,1.2,28.6%,28.6%,20%,10%,0%,30%
247,G-F,Dwayne Bacon,Charlotte Hornets,45,25.3%,0.8,0.5,0.595,0.4,0.2,0.7,33.3%,33.3%,13.5%,5.4%,5.4%,32.4%
248,G,Shane Larkin,Boston Celtics,42,42.5%,1.8,1,0.595,0.9,0.4,1.4,31.6%,33.3%,17.6%,5.4%,4.1%,29.7%
249,F,Abdel Nader,Boston Celtics,33,14.2%,0.5,0.3,0.588,0.2,0.1,0.3,33.3%,38.9%,35.3%,11.8%,11.8%,29.4%
250,G,E'Twaun Moore,New Orleans Pelicans,68,7.4%,0.9,0.5,0.576,0.4,0.3,0.7,37%,37%,22%,0%,0%,28.8%
251,G,Ben McLemore,Memphis Grizzlies,45,11.7%,0.9,0.5,0.575,0.4,0.2,0.6,28%,32%,27.5%,10%,10%,27.5%
252,G,Ramon Sessions,New York Knicks,13,64.9%,3.7,2.1,0.562,2,0.7,2.7,25.7%,25.7%,16.7%,12.5%,10.4%,29.2%
