#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
243,G,Tyler Johnson,Miami Heat,59,1.8%,0.2,0.1,0.538,0.1,0.1,0.2,27.3%,31.8%,15.4%,0%,0%,23.1%
244,F,Darius Miller,New Orleans Pelicans,68,3.2%,0.2,0.1,0.533,0.1,0.1,0.2,30.8%,30.8%,13.3%,0%,0%,26.7%
245,F,Trevor Ariza,Houston Rockets,55,2.5%,0.3,0.1,0.533,0.2,0.1,0.2,25%,29.2%,13.3%,6.7%,6.7%,26.7%
246,F,Bojan Bogdanovic,Indiana Pacers,67,3.7%,0.5,0.3,0.531,0.3,0.1,0.4,20%,20%,9.4%,12.5%,9.4%,28.1%
247,G,Joe Young,Indiana Pacers,49,8.5%,0.3,0.2,0.529,0.2,0.1,0.3,28.6%,28.6%,17.6%,5.9%,5.9%,23.5%
248,C,Clint Capela,Houston Rockets,62,2.6%,0.3,0.2,0.5,0.1,0.1,0.2,33.3%,33.3%,25%,15%,10%,25%
249,F-C,Greg Monroe,Phoenix Suns,20,4.7%,0.5,0.3,0.5,0.4,0.1,0.5,22.2%,22.2%,0%,10%,10%,30%
250,G,Tyus Jones,Minnesota Timberwolves,69,3.7%,0.2,0.1,0.462,0.1,<0.1,0.2,27.3%,27.3%,15.4%,0%,0%,23.1%
251,G,Bobby Brown,Houston Rockets,20,15.9%,0.6,0.3,0.455,0.4,0.1,0.5,20%,25%,9.1%,0%,0%,18.2%
252,G,Raul Neto,Utah Jazz,39,6.7%,0.3,0.1,0.385,0.2,0.1,0.3,18.2%,18.2%,15.4%,7.7%,7.7%,15.4%
253,F,Tony Snell,Milwaukee Bucks,61,3%,0.2,<0.1,0.25,0.1,<0.1,0.1,12.5%,12.5%,25%,8.3%,8.3%,16.7%
254,G,Emmanuel Mudiay,New York Knicks,13,9.3%,1.3,0.3,0.235,0.9,0.2,1.1,14.3%,14.3%,17.6%,5.9%,5.9%,11.8%
255,F,Lance Thomas,New York Knicks,64,3.5%,0.2,<0.1,0.2,0.1,<0.1,0.1,11.1%,11.1%,10%,0%,0%,10%
256,F,Maurice  Harkless,Portland Trail Blazers,54,4.4%,0.3,<0.1,0.143,0.2,<0.1,0.2,8.3%,8.3%,14.3%,0%,0%,7.1%
