#,Position,Player,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
123,C,Joel Embiid,Philadelphia 76ers,56,6.4%,1.6,1.3,0.862,0.7,0.6,1.3,45.8%,46.5%,10.3%,9.2%,8%,44.8%
124,G-F,Jeremy Lamb,Charlotte Hornets,68,8.2%,1.1,0.9,0.861,0.6,0.3,1,34.8%,39.4%,2.8%,9.7%,9.7%,37.5%
125,F-G,Paul George,Oklahoma City Thunder,67,12.4%,2.7,2.3,0.861,1.3,0.8,2.1,38.2%,43.1%,10%,13.3%,11.1%,40%
126,G,Isaiah Thomas,Los Angeles Lakers,14,7.7%,1.4,1.2,0.85,0.6,0.4,1,35.7%,39.3%,15%,15%,10%,40%
127,G,Russell Westbrook,Oklahoma City Thunder,68,17.9%,5.1,4.4,0.846,2.7,1.6,4.3,37.5%,41.5%,6.9%,12%,11.1%,40%
128,C,Dwight Howard,Charlotte Hornets,69,3.9%,0.7,0.6,0.844,0.2,0.2,0.4,44.8%,44.8%,13.3%,26.7%,24.4%,46.7%
129,C-F,Kelly Olynyk,Miami Heat,63,3.6%,0.4,0.3,0.84,0.2,0.1,0.3,35%,37.5%,12%,16%,16%,36%
130,G,Kris Dunn,Chicago Bulls,52,7.7%,1.3,1.1,0.836,0.7,0.5,1.1,40.7%,42.4%,4.5%,7.5%,6%,41.8%
131,G,E'Twaun Moore,New Orleans Pelicans,68,3%,0.4,0.3,0.833,0.2,0.1,0.4,41.7%,41.7%,0%,0%,0%,41.7%
132,F,Johnny O'Bryant III,Charlotte Hornets,36,6.2%,0.3,0.3,0.833,0.2,0.1,0.3,41.7%,41.7%,0%,0%,0%,41.7%
133,F,Rondae Hollis-Jefferson,Brooklyn Nets,54,9.9%,1.4,1.2,0.833,0.7,0.5,1.2,43.1%,43.1%,9%,7.7%,7.7%,43.6%
134,G,Fred VanVleet,Toronto Raptors,65,7.4%,0.6,0.5,0.829,0.4,0.2,0.6,36.1%,41.7%,7.3%,4.9%,2.4%,36.6%
135,F,Julius Randle,Los Angeles Lakers,68,7.8%,1.2,1,0.827,0.4,0.4,0.8,47.3%,47.3%,18.5%,13.6%,13.6%,44.4%
136,,Lance Stephenson,Indiana Pacers,68,14%,1.5,1.3,0.827,0.8,0.5,1.2,38.1%,41.7%,8.7%,11.5%,11.5%,41.3%
